Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-10-15,6.886,6.991,6.818,6.886,1997815.4,2022-10-15 23:59:59.999000064,13798762.56723,41959,1050036.61,7257955.73557,0
2022-10-16,6.886,7.237,6.876,7.173,2251234.69,2022-10-16 23:59:59.999000064,15940568.83857,57914,1149459.29,8143135.34856,0
2022-10-17,7.167,7.374,7.067,7.328,3223224.95,2022-10-17 23:59:59.999000064,23364961.14815,61534,1394806.79,10112242.1338,0
2022-10-18,7.33,7.372,6.963,7.127,3812172.36,2022-10-18 23:59:59.999000064,27259786.93776,71865,1774175.71,12670033.35709,0
2022-10-19,7.126,7.135,6.698,6.772,2898811.58,2022-10-19 23:59:59.999000064,20118068.56335,60537,1364680.52,9478781.39548,0
2022-10-20,6.773,6.912,6.601,6.657,3053738.2,2022-10-20 23:59:59.999000064,20681408.41961,61682,1425427.25,9656396.35759,0
2022-10-21,6.658,6.847,6.444,6.809,3884356.73,2022-10-21 23:59:59.999000064,25846102.59334,82234,1888781.91,12573735.14755,0
2022-10-22,6.81,6.931,6.725,6.868,1242501.08,2022-10-22 23:59:59.999000064,8500540.74031,36603,611854.19,4186856.20037,0
2022-10-23,6.87,7.092,6.799,7.066,2603397.53,2022-10-23 23:59:59.999000064,18020720.76184,57222,1330910.31,9214831.87619,0
2022-10-24,7.067,7.086,6.791,6.906,3517550.87,2022-10-24 23:59:59.999000064,24335258.79955,60570,1610008.75,11137918.32719,0
2022-10-25,6.908,7.28,6.814,7.063,5408134.51,2022-10-25 23:59:59.999000064,38086977.2091,105592,2606538.09,18377308.84477,0
2022-10-26,7.063,7.29,7.027,7.157,4195506.95,2022-10-26 23:59:59.999000064,30065054.06679,93369,2016119.32,14457070.34219,0
2022-10-27,7.158,7.365,6.858,6.892,4318895.49,2022-10-27 23:59:59.999000064,30714307.53915,98592,2072234.83,14761185.5893,0
2022-10-28,6.893,7.2,6.83,7.109,3195848.02,2022-10-28 23:59:59.999000064,22384385.43907,71963,1509748.56,10577528.15036,0
2022-10-29,7.108,7.661,7.076,7.636,5922885.58,2022-10-29 23:59:59.999000064,43586411.00135,130478,3033026.64,22336156.53874,0
2022-10-30,7.637,7.932,7.48,7.782,6277383.29,2022-10-30 23:59:59.999000064,48314353.79686,153138,3086064.64,23757304.30471,0
2022-10-31,7.783,8.333,7.664,7.857,8476588.97,2022-10-31 23:59:59.999000064,67630099.8215,211492,4268160.62,34068972.61474,0
2022-11-01,7.854,7.923,7.63,7.684,3790469.73,2022-11-01 23:59:59.999000064,29439256.27702,92032,1739604.58,13513178.42647,0
2022-11-02,7.683,8.0,7.338,7.437,8337674.08,2022-11-02 23:59:59.999000064,64029729.00664,190798,3993520.5,30672304.9193,0
2022-11-03,7.436,8.02,7.388,7.72,8014383.31,2022-11-03 23:59:59.999000064,62564608.05491,175418,3884037.24,30336159.03953,0
